person,condition,exchange
Alvina,Attacking her,"Dee hee hee, dee hee hee! What a fool we have, what a wretched fool we have! Oh, it is thee... Thine kinsmen are betrayed by thee. This doth bode most badly. No rest will ease thy rotten soul whilst there is one clansman living... Forever tormented thou shalt be by our very howls..."
Anastacia of Astora,Upon being revived,"...Th, thank you...I am Anastacia of Astora...Now I can continue my duty as a Keeper...But...I only hope that my impure tongue does not offend."
Anastacia of Astora,Talk,"...Forgive me...I am impure, my tongue never intended for restoration...Please, if you have any heart...Leave me be...I wish not to speak..."
Anastacia of Astora,After given at least one Lord Soul to the Lordvessel,"(... Frampt has told me of you...*) That you have agreed to link the Fire... I thank you, sincerely... Finally the curse of the Undead will be lifted, and I can die human... I am powerless, but I will do what I can... Please, save us all... Please."
Andre of Astora,Introduction,"Well, you must be a new arrival. I'm Andre of Astora. If you require smithing, speak to me."
Andre of Astora,Farewell,I'll be seeing you then. Be careful out there.
Andre of Astora,Farewell (after buying),"Don't get yourself killed, neither of us wants to see you go Hollow."
Andre of Astora,Greeting,"Well, hello again. You seem to be doing all right. Need anything forged?"
Andre of Astora,Talk x1,"Most weapons and armor are mighty sturdy indeed. But every hunk of metal has its breaking point. If you notice durability running low, it's time to repair. You can ask a blacksmith like meself, or do it on your own with a grindstone. The nice thing about weapons...they never betray you. So pay them a little respect, eh?"
Andre of Astora,Talk x2,"There are two types of weapon reinforcing. There's reinforcement, and there's ascension. Reinforcement is simple. It strengthens the weapon and nothing more. A simple task for any blacksmith. Hell, you could even do it yourself with a smithbox. But ascension is a finer art. It alters a weapon properties. Ascension is the territory of we blacksmiths; a smithbox just won't do the trick. Start out with reinforcement. When that loses it's charm you can consider ascension. As you've noticed, this land is flush with the mad and wicked. You won't make it through the night without employing my services. Hah hah hah!"
Andre of Astora,Talk x3,"You can forge armour just like you do weapons. Forging armour is even easier than forging weapons. Whether you forge armor or weapons first? Well that's up to you. But nobody wants to see you go Hollow. So, whatever you do, you'd better do it well. Hah hah hah!"
Andre of Astora,Talk x4,"This is the old church. It was abandoned in favour of the church that you passed through. There are paths leading from here to two forbidden planes: Sen's Fortress, and Darkroot Garden. They attract all sorts of lunatics, no-one as cultured as yourself. It's fine to be Undead, but keep a level head, eh? Hah hah hah!"
Andre of Astora,Talk x5,"Sen's Fortress is an old proving ground built by the ancient gods. It is the only route to the great Anor Londo. Of course, most fools can't even find their way into that fortified deathtrap. But they won't stop trying! Take that bumbling Sir Onion... Hah hah hah!"
Andre of Astora,Talk x6,"I know little of the Darkroot Garden. Although, I've heard rumours of a divine blacksmith who resides there. Those who get stumped in the Catacombs seek him for divine weapons."
Andre of Astora,Talk x7 (after retrieving the Divine Ember),"Oh, yes, and one more thing about the Darkroot Garden. It is said to house the grave of Sir Artorias the Abysswalker. Only, of those who ventured into the forest, none has returned."
Andre of Astora,Large Ember,"Ahh, why, that's a fine ember you have there. I could smith some mighty weapons with one of those. Why not lend it to me?"
Andre of Astora,Very Large Ember,"Well, I'll be! That's a brilliant ember you've got there! For all my years in the trade, that might be the finest! How's about... you leave that ember with me? I'm just an old smith. I'd give my left arm for a gem like that."
Andre of Astora,Divine Ember,"My, that's a rare ember you have there. I've seen one of those before... It's the ember of a divine blacksmith. Might you consider leaving that with me? I could produce divine weapons with a flame such as that."
Andre of Astora,Large Divine Ember,"Oh, my, what a brilliant ember you have there. I've only heard legends of such specimens... The embers used for the secret rites of divine blacksmiths... Perhaps you could lend it to me? I've long dreamed of forging divine weapons..."
Andre of Astora,Dark Ember,"Hrm? Show me that ember of yours... Well, I've never heard of a black ember. Hmmm... How about leaving that ember with me? I find it strangely fascinating."
Andre of Astora,"Saying ""No"" to giving Andre an ember","I see... 'Tis a pity... But perhaps you'd... No, no, it's quite all right... Quite all right, indeed..."
Andre of Astora,Bringing him an ember he can't use,"Hmm, that's an odd ember you have there. Ahh, I know what you're thinking. But I'm no good with those. It won't be easy, but... I'm afraid you'll have to look for someone else."
Andre of Astora,Attacking him,"Well you've got some nerve! Coming at me like that! I'll tear you to shreds, you bloody hollow!"
Andre of Astora,Killing him,"Curses, you damn backstabber."
Big Hat Logan,Introduction,"Mm, you seem quite lucid! A rare thing in these times. I am Logan. I'm a bit cooped up, as you can see. I have a bright idea. Suppose you set me free. I'm old and empty-handed, but I could repay you with knowledge, and sorcery. This place is melting my mind. The inactivity is repressive."
Big Hat Logan,Unlock his cage,"Oh, heavens, thank you. I'm saved. And, I'd love to resume my travels, but I must log a few things first, and I owe you a favour. I will return to Firelink Shrine. Speak with me there, so that I may impart my sorcery."
Big Hat Logan,Right after unlocking his cage,"Oh, hello. Don't mind me. Go on ahead. I'll be along later. Phoo-hah-hah, I'll be just fine, young one."
Big Hat Logan,At Firelink Shrine,There you are. I was expecting you. As promised I will share my sorceries.
Big Hat Logan,Speaking at Firelink Shrine having 14 or less intelligence,"There you are. I was expecting you. As promised I will share my sorceries... I am afraid that you are unable to learn sorcery. The basic framework, you see. It cannot be taught. Oh, do not fret. Life isn't all about sorcery. You will find your own way. Don't frown with regret; peer forward with your head held high."
Big Hat Logan,Speaking after acquiring 15 or more intelligence,Hello there. Glad to see you alive. Hmmm... It seems you've come quite a way. Excellent. You are certainly ready. I shall teach you sorceries.
Big Hat Logan,Greeting at Firelink,Hello there. You really are very diligent. I quite understand. Study is invigorating!
Big Hat Logan,Farewell at Firelink,"Heading out, are you? I, too, will leave soon. Undead or no, I shan't stay here forever. You have great potential. Don't go and die over nothing."
Big Hat Logan,The Duke's Archives Prison Cell,"Hello again! What a chance meeting this is! Alas I'm imprisoned once again. I don't suppose you could stage me a getaway? The Archives, such a storehouse of knowledge. So close, but just out of reach! The thought offends me so, I simply could die! As a student of the arts, you understand me, yes?"
Big Hat Logan,Unlocking his Cell Door,"Oh, thank you very much. I'm saved. That makes twice. I must be sure to repay you. I will visit the Archives. If I discover any new spells, I shall share them with you. Prepare to be impresses, by the onward march of sorcery!"
Big Hat Logan,Speaking to him after unlocking door,Hello. Don't mind me. Go on ahead. I'll head out soon. I wish to lay down my plans before I visit the Archives.
Big Hat Logan,The Duke's Archives Library,"Hello there. I was expecting you. This place is truly magnificent, more than expected even. As promised, I shall share the new sorceries with you. And the secret of Seath's immortality."
Big Hat Logan,Talk x1,"Ah, the secret of Seath's immortality? If you have fought him, and were imprisoned, you must know that Seath is a true Undead, different from ourselves. His wounds close promptly, and no mortal blow affects him, granting true insulation from death. It is an effect of the Primordial Crystal, a sacred treasure pillaged by Seath when he turned upon the ancient dragons. So, only by destroying the Primordial Crystal can you so much as scratch his hide. And it so happens, the Primordial Crystal is in the inner garden of these very archives, the Crystal Forest."
Big Hat Logan,Talk x2,"The tomes stored in these Archives are truly magnificent. A great pool of knowledge, the fruits of superior wisdom and an unquenchable desire for the truth. Some would say Seath had an unsound fixation... But his work is a beautiful, invaluable resource. All progress demands sacrifice. And I certainly bear no antipathy for that wonderful scaleless beast."
Big Hat Logan,Archive Library Greeting 1x,"Hello there. You really are very diligent. Oh, I understand. We are in the midst of a revolution!"
Big Hat Logan,Archive Library Greeting 2x,Oh hello there. Where have you been? Time is a resource. Let's delve in promptly.
Big Hat Logan,Archive Library Farewell 1x,"Come again. The knowledge here is limitless. I will absorb it, then share it with you."
Big Hat Logan,Archive Library Farewell 2x,Farewell.
Big Hat Logan,Archive Library Farewell 3x,"Come again, any time you please. For I too, learn, whilst teaching a student."
Big Hat Logan,After Defeating Seath,"Oh there you are, it has been a while. Or, were you just here? This fascinating place defeats my sense of time..."
Big Hat Logan,Talk After Defeating Seath,Mm...mm...(Gibberish)
Big Hat Logan,Farewell After Defeating Seath,Mm...mm...(Gibberish)
Big Hat Logan,After buying all spells he has to offer,...Who are you...Stay clear...stay clear of my work...Curses upon you!...How dare you disturb me!
Big Hat Logan,Attacking Logan before he goes insane,"I fail to see your design, but if you think I'm too old to defend myself, perhaps some sorcery will change you mind!"
Big Hat Logan,Killing Logan before he goes insane,Heavens... the folly of youth...I'm too old for this...
Crestfallen Merchant,Introduction,"Ah, what? What? Who are you? Ahh another Undead, eh? I took on Sen's Fortress alone... But I'm no different from those vile creatures... I was driven by conceit... Ahh, you think you're different? That you can handle it? Yes, I remember that feeling. For I was the same... So let me help you out. With your souls searching."
Crestfallen Merchant,Talk x1,"There's nothing more to say. I'm finished. We're both on the brink, you see? End of story. You bloody fool."
Crestfallen Merchant,Talk x2,"Let me give a nibble of advice. Don't even consider visiting Anor Londo. Not in your state. For a century, they have tried, and failed. The Knight King Rendal, Black Iron Tarkus, and even Logan himself. You won't stand a chance. You'll be eaten alive. But, go along, if you wish. If only to deepen your despair!"
Crestfallen Merchant,Leaving without purchase,"Nothing at all? Fine then, rush in like a naked babe, and be skinned alive."
Crestfallen Merchant,Greetings,"...(Grunting) Hm...Oh, yes, it's you. What is it? Still something you need, eh, anything at all?"
Crestfallen Merchant,Leaving after making a purchase,"Go along, try and make something of yourself. But nothing will come of it. And I should know"
Crestfallen Merchant,Talk x3,Where do I get all my things? Stripped off the corpses of fools like yourself. It isn't easy. I have to catch them just before they go Hollow. Don't worry. I'll be there to claim your trinkets. Gazing at your final twisted grimace. Gee hee hee hee hee!
Crestfallen Merchant,Leaving abruptly,...Hmm?
Crestfallen Merchant,Speaking after abruptly leaving,"...Hm, fine, fine. I understand. I have my head about me."
Crestfallen Merchant,Attacking him,What the devils got into you? Hrrgrrrrroooggh! You hrggraaaghh!
Crestfallen Merchant,Killing him,Hrrggahh...Ahhh...help me...
Crestfallen Warrior,Introduction,"Well, what do we have here? You must be a new arrival. Let me guess. Fate of the Undead, right? Well, you're not the first. But there's no salvation here. You'd have done better to rot in the Undead Asylum... But, too late now. Well, since you're here... Let me help you out. There are actually two Bells of Awakening. One's up above, in the Undead Church. The other is far, far below, in the ruins at the base of Blighttown. Ring them both, and something happens... Brilliant, right? Not much to go on, but I have a feeling that won't stop you. So, off you go. It is why you came, isn't it? To this accursed land of the Undead? Hah hah hah hah..."
Crestfallen Warrior,Speaking to him when in Hollow form,"Oh, your face! You're practically Hollow! But who knows, going Hollow could solve quite a bit! Hah hah hah hah..."
Crestfallen Warrior,After speaking to him in Hollow form,"Hm, what? Restoring your humanity? Well, there are a few ways to go about it... Collect it bit by bit from corpses, or you can butter up a cleric, and get yourself summoned. And the quickest way, although I'd never do it, is to kill a healthy Undead, and pillage its humanity. Coveting thy neighbor is only human, after all! Hah hah hah hah..."
Crestfallen Warrior,After explaining how to become human again,What are you looking at? Don't try anything clever. You might regret it.
Crestfallen Warrior,Speaking after introduction,"Hm? What, you want to hear more? Oh, that's all we need. Another inquisitive soul. Well, listen carefully, then... One of the bells is up above in the Undead Church, but the lift is broken. You'll have to climb the stairs up the ruins, and access the Undead Burg through the waterway. The other bell is back down below the Undead Burg, within the plague-infested Blighttown. But I'd die again before I step foot in that cesspool! Hah hah hah hah!"
Crestfallen Warrior,Speaking to him too much,"Bloody hell, what is it now? You ask too many questions."
Crestfallen Warrior,Speaking after ringing the first Bell of Awakening,"Why, what a surprise. I didn't expect you to make it. ...Oh somebody rang the bell...Wait. Was it you? You never give up, do you? I don't know how you do it. Well, don't stop now."
Crestfallen Warrior,Speaking after ringing the second Bell of Awakening,"Did you ring the second bell? That is incredible, I must say...But now we have a new problem. It's noisy, it snores, and its breath is lethal... This is no laughing matter, I tell you."
Crestfallen Warrior,Speaking to him again after ringing second bell,"Damn, that stench... And I was really beginning to like it here! (Sigh) Maybe it's time I do something about it..."
Crestfallen Warrior,"Speaking to him after Reah, Vince, and Nico arrive","Did you see her? That virtuous little maiden, complete with followers in tow. They're probably going straight to pillage graves. I've heard enough about ""M'Lady"" for a lifetime."
Crestfallen Warrior,Speaking about the Giant Crow,"You again? There's nothing to speak about, really. Oh, actually...Something strange did happen. That crow flew off with somebody in its clutches. I think it was a man curled up in a ball. Stranger things have happened, right? No, maybe not..."
Crestfallen Warrior,Speaking before Griggs is rescued,"How did that silly sorcerer's apprentice end up? You know, the one always prattling on about Master Logan. He left for the Undead Burg, but never came back. Serves him right. If even Old Big Hat can't make it out there, what chance does he have? I hope he enjoys his new life as a Hollow."
Crestfallen Warrior,Speaking after Griggs is rescued,"How did that nutty sorcerer make it back? Unexpected, but I suppose stranger things have happened."
Crestfallen Warrior,Speaking before Laurentius is rescued,"How did that raggedy old chum end up? You know, the one who idolized some godmother of pyromancy. He left for Blighttown, but never came back. Whereas most flee from sickness, he dives right in. Well, nothing will harm him once he goes Hollow."
Crestfallen Warrior,Speaking after Laurentius is rescued,"How did that old man make it back? Unexpected, but I suppose stranger things have happened."
Crestfallen Warrior,Speaking about New Londo,"Have you been to the ruins of New Londo below? Just head down the stairs, and take the lift. It's certainly worth a visit. It was once an Undead city. You may find a clue or two. Unless the ghosts find you first... Keh heh heh heh!"
Crestfallen Warrior,Speaking after seeing Anastacia,"Oh, have you seen that terribly morose lass? ...The Fire Keeper. She's stuck keeping that bonfire lit. Sad, really. She's mute and bound to this forsaken place. They probably cut her tongue out back in her village, so that she'd never say any god's name in vain. How do these martyrs keep chugging along? I'd peter out in an instant. Hah hah hah hah!"
Crestfallen Warrior,Speaking after Reah is rescued in Tomb of the Giants,"Did you hear about the maiden? The virtuous lass came back alone, and in absolute tatters... Did her followers die, or was she abandoned? Who knows. But I suppose we've heard the last from ""M'Lady"". Hah hah hah hah!"
Crestfallen Warrior,Speaking about Reah's location,That maiden? She's shuffled off somewhere. I believe to the Undead Church. These ruins were probably too awkward for her.
Crestfallen Warrior,Speaking to him randomly,What's wrong? Get a bit of a scare out there? No problem. Have a seat and get comfortable. We'll both be Hollow before you know it. Hah hah hah hah...
Crestfallen Warrior,Speaking to him if cursed,"Oi, hold on... Don't tell me, have you been cursed? Oh woe is the Undead who's cursed on top of it all! Harsh times; harsh times, indeed! Hah hah hah hah! Hah hah hah hah! No, no, I'm sorry. Here, let me share a nice tip. Long ago, I was told of a remedician who resides in New Londo. Does he really exist? Well, go and find out for yourself. But don't blame me if he's just an apparition! Hah hah hah hah!"
Crestfallen Warrior,Speaking after Big Hat Logan is rescued,"Oi, did you see him? Big Hat Logan, the legendary sorcerer, in the flesh! ...This place is simply mad... Legendary heroes popping up left and right... They're making me feel quite inadequate, to be honest! Hah hah hah hah..."
Crestfallen Warrior,Speaking about forging weapons,"Don't you ever think to forge your weapons? You'd better find a smithbox soon, unless you enjoy swinging about with blunt instruments! Hah hah hah hah!"
Crestfallen Warrior,Attacking him,"Lousy rat! You have some nerve! I may be crestfallen, but I'm not defenseless, you rascal! You will soon regret this!"
Crestfallen Warrior,Being killed by him,"Now, that's just embarrassing. How'd you let me do that to you?"
Crestfallen Warrior,Killing him,"Heheh, not too shabby... not too shabby... I think you've done me a favour..."
Crossbreed Priscilla,Greeting,"Who art thou? One of us, thou art not. If thou hast misstepped into this world, plunge down from the plank, and hurry home. If thou seekest I, thine desires shall be requited not."
Crossbreed Priscilla,Talk,"Thou must returneth whence thou came. This land is peaceful, its inhabitants kind, but thou dost not belong. I beg of thee, plunge down from the plank, and hurry home."
Crossbreed Priscilla,Attacking her,I expected as much from thee. Why dost thee hurry toward thine death?
Crossbreed Priscilla,Killing the player,Why could thou not let us be? Didst thou not see why Ariamis created this world?
Crossbreed Priscilla,Killing her,"Ahh... But, why... What seeketh thee?"
Dark Sun Gwyndolin,After killing Gwynevere,"Thou that tarnished the Godmother's image. I am Gwyndolin, and thy transgression shall not go unpunished. Thou shalt perish in the twilight of Anor Londo."
Dark Sun Gwyndolin,Entering the fog after killing Gwynevere,"Heretic... First thou offendeth the Godmother, and now thou see fit to trample upon the tomb of the Great Lord. I am the Darksun, Gwyndolin! Let the atonement for thy felonies commenceth!"
Dark Sun Gwyndolin,Killing him,"O Heretic, swathed in Dark... An eternal curse upon thee..."
Dark Sun Gwyndolin,Entering the fog as a member of the Blade of the Darkmoon,"What foolishness... Why would a Blade of the Darkmoon trespasseth upon the Great Lord's tomb? Mark the words of mineself, Gwyndolin! Thou shalt not go unpunished!"
Darkmoon Knightess,Introduction,"Well, you are a rare visitor. Welcome to the lost city of Anor Londo, chosen Undead. If you seek Lord Gwyn's old keep, exit here and head straight yonder. If you are the chosen one, a revelation shall visit thee. ...What follows thereafter, depends upon you..."
Darkmoon Knightess,Speaking to her after receiving the Lordvessel,"Hmm. So, you have received a revelation? Very auspicious. I hope for the best. I pray that through you, Her wish will be granted."
Darkmoon Knightess,Talk x1,"Have you heard of Seath the Scaleless? In legend, he turned against the ancient dragons. He became Lord Gwyn's confidant, was granted dukedom, and was allowed to pursue his research. At the Regal Archives, he immersed himself in research on scales of immortality, the one thing that he did not have. ...But his very research drove him mad... The Archives became a dungeon, a place for sinister experiments. Now, nobody dares even approach the duke's forbidden Archives. It looms over this land, high atop the mountain. But I should warn against even an approach..."
Darkmoon Knightess,Talk x2,"Hm, what is it? What am I? Well...I am the Keeper of the bonfire. If not for me, what beacon would there be in this lost city? A gatekeeper, and a guide; that is my calling."
Darkmoon Knightess,Talk x3,"The bonfires attended by the Keepers are special. They are linked to one another, and their flames never die. Yet never shall the Keepers of these flames meet..."
Darkmoon Knightess,Talk x4,"If you require rest, now is the time. That is, after all, what the bonfire is for."
Darkmoon Knightess,Greetings,"Go ahead, you may rest here. Even an Undead requires repose."
Darkmoon Knightess,Speaking to her after becoming a Blade of the Darkmoon,"Oh...You are one of us. That is a surprise. But a pleasant one. We are both Blades of the Darkmoon, now. I shall look forward to fighting alongside you."
Darkmoon Knightess,Approaching her after killing Gwynevere,"So... It was you, was it? How dare you produce a blade upon a deity? How did you ever get this far? I shall end your suffering here and now. It is the least that I can do. What you saw under light of the Darkmoon shall haunt you forever."
Darkmoon Knightess,Attacking her,What! How dare you! Hrk! Rrgh! Very well. So be it. Expunging fools like you is part of my charge...
Darkmoon Knightess,Killing her,"But, how... This man* is a threat... Master Gwyndolin..."
Darkstalker Kaathe,Introduction,"Greetings, Undead warrior. I am the primordial serpent Darkstalker Kaathe. I can guide thee, and illuminate the truth. Undead Warrior, conqueror of the Four Kings; is this not your wish? To know the truth of men, and the Undead?"
Darkstalker Kaathe,"Answering ""Yes""","A wise choice, Undead warrior. Prove you must, that the truth becomes you. Seek Anor Londo. And claim Gwyn's heirloom, the Lordvessel. Now go, Undead warrior. Show the world that the truth becomes you. (Note: This dialogue may be different if the player has already acquired the Lordvessel.)"
Darkstalker Kaathe,"Answering ""No""",...Very well. Warriors as yourself are few. I will be patient. But I cannot wait forever...
Darkstalker Kaathe,"After answering ""No""","What is it? Perhaps you have changed your mind? (The Answering ""Yes"" dialogue will now be said.)"
Darkstalker Kaathe,After acquiring the Lordvessel,"Hmm... You are astonishing. The truth I shall share, without sentiment. After the advent of Fire, the ancient Lords found the three souls. But your progenitor found a fourth, unique soul. The Dark Soul. Your ancestor claimed the Dark Soul, and waited for Fire to subside. And soon, the flames did fade, and only Dark remained. Thus began the age of men, the Age of Dark. However... Lord Gwyn trembled at the Dark. Clinging to his Age of Fire, and in dire fear of humans, and the Dark Lord who would one day be born amongst them, Lord Gwyn resisted the course of nature. By sacrificing himself to link the Fire, and commanding his children to shepherd the humans, Gwyn has blurred your past, to prevent the birth of the Dark Lord. I am the primordial serpent. I seek to right the wrongs of the past, to discover our true Lord. But the other serpent, Frampt, lost his sense, and befriended Lord Gwyn. Undead Warrior, we stand at a crossroads. Only I know the truth about your fate. You must destroy the fading Lord Gwyn, who has coddled Fire and resisted nature, and become the Fourth Lord, so that you may usher in an Age of Dark."
Darkstalker Kaathe,"Answering ""Yes""","Very well! I shall now guide you to Gwyn's prison. Be still. Entrust thine flesh to me. *Kaathe will take the player to Firelink Altar.* This is Gwyn's prison. Now, place the Lordvessel upon the altar."
Darkstalker Kaathe,"Answering ""No""","Fool... You could not be the Dark Lord. Enough of this...and farewell to you. I shall return to the Abyss, and await the true Lord of Men."
Darkstalker Kaathe,After placing the Lordvessel,"Very well. Once the vessel is filled with souls, the gate to Gwyn shall open. Seek Gravelord Nito, the Witch of Izalith, and the traitor Seath the Scaleless. Fill this vessel with their souls. Then, the gate will open... so that you may kill Gwyn. ... Are you ready? Then, let us return to the Abyss. Entrust thine flesh to me."
Darkstalker Kaathe,Greetings,"What is it? I am your guardian. Go on, state your wish."
Darkstalker Kaathe,Darkwraith Covenant Entry,"Ahh... If you wish, I shall grant the art of Lifedrain, the legendary power of the Dark Lord. It can preserve your humanity while Undead, and cast off the shackles placed upon your brethren."
Darkstalker Kaathe,Talking before acquiring the Lordvessel,Undead warrior. To speak now is premature. It begins with your retrieval of the Lordvessel.
Darkstalker Kaathe,Talk x1 after placing the Lordvessel,"They failed me, every last one of them. They were strong, but saw not the truth... I am certain that you will prove different."
Darkstalker Kaathe,Farewell,Farewell.
Domhnall of Zena,Introduction,"Aye, siwmae. And good day to you. I'm Domhnall of Zena. I'm just, well, a peddler, of sorts. I adore trinkets and oddities, so I trade for them."
Domhnall of Zena,Greetings,"Aye, siwmae. We meet again. Found anything special for my good self? Mmm, I certainly hope so!"
Domhnall of Zena,Farewell after purchasing,"Heh heh. Thank you. That was a fine trade. I have this funny feeling we'll meet again soon. And we'll make another fine trade, of course!"
Domhnall of Zena,Farewell without purchasing,"Well, that is a shame, then. But no matter. No, not to worry. Come back again. I'm always available. Not every trade was meant to be. There'll be more in store for us, someday, sometime!"
Domhnall of Zena,Tip given when talking after purchasing,"So, I am willing to share some tips. If you seek Kindling in the Catacombs, use divine weapons. That will repel the reassembling skeletons."
Domhnall of Zena,Tip given after defeating a boss and purchasing,"Hmm... Well, I'm certain we will make a good trade eventually... So, I am willing to share some tips. The cursed Ghosts of New Londo are formidable foes. To face them, you will require special arms... Or a cursed body. The quickest way to be cursed? Try the bug-eyed lizards in the sewer. Desperate measures, to be sure..."
Domhnall of Zena,Tip only given at Firelink Shrine,"Hmm... You are a fine trading partner. Rumour it may be, but I have heard of a surviving ancient dragon who resides in this land. A coterie of Undead serves the dragon, as they train to become dragons themselves. Sounds unlikely, but you never know, do you?"
Domhnall of Zena,Talk without purchasing,"Hmm... I'm afraid I don't see anything here. Hmm...Well, I'm certain we will make a good trade eventually..."
Domhnall of Zena,Attacking him,"Hold on, there! What's this about? Now, stop that! Ouch! Oww! What problem do you have now? I'm a man of peace, idiot! Enough of you, I say, farewell."
Domhnall of Zena,Killing him,By the Lords... why... My precious collection...
Dusk of Oolacile,Introduction,"So, it is thou who rescueth me? Most gracious, I am deeply obliged. I am Dusk of Oolacile. I cometh from an age long before thine...I can not stay here for long. So, before I disappear, allow me to ask one thing. My home, Oolacile, is the home of ancient sorceries. My hope is to pass this profound knowledge to thee, with thine approval. Would this be of assistance to thee?"
Dusk of Oolacile,"Answering ""Yes""","My heartfelt thanks. I am pleased beyond words. Then, I shalt engrave my signature. If thou art in need, pray summon me from my signature. It seems that my time is done. May the great flames guide thee."
Dusk of Oolacile,"Answering ""No""","Yes, of course... I understand well. Pray forgive me. I have overstepped my boundaries. Farewell; another age, another land, beckons me to return. May the flames guide thee."
Dusk of Oolacile,Greetings,I am Dusk of Oolacile. It is an honour to see thee again. I shall follow thine wishes.
Dusk of Oolacile,Talk x1,"For a very long time, I was trapped within the Crystal Golem. From my home I was taken, and banish'd to a plane of distortion. It was there, that thou came to my rescue. Long after I had relinquished all hope. So gleeful was I, my faith reneweth."
Dusk of Oolacile,Talk x2,"The sorceries of Oolacile differ from the magic of thine age. It is difficult to explain...Oolacile sorceries are, what doth one say? They are somewhat... of an approximation. Thine sorceries are more straightforward, negating all but thy self. Dost thou not find some fascination in these discrepancies?"
Dusk of Oolacile,Talk x3,"My home Oolacile was reduced to ashes, long ago, in my time. I have been alone ever since...But to be summon'd thus, and to be of service to thee... It is... most rewarding... Oh, forgive me, such a long-past time is none of thine concern..."
Dusk of Oolacile,Farewell,"If thou art in need, pray summon me again. I only wish to be of some genuine assistance...May the flames guide thee."
Dusk of Oolacile,Attacking her,What dost thou... Whatever for...
Dusk of Oolacile,Killing her,"Ahh... Farewell, my rescuer..."
Dusk of Oolacile,Rescuing her from Manus,...Mmn...ahh...
Dusk of Oolacile,Talk x4 (Summoning her after Manus fight),"...This may strike thine ear as somewhat peculiar, but...Long ago, in my homeland of Oolacile, I was beset by a creature from the Abyss. I would have perished then, were it not for the great knight Artorias. In truth, I saw little of what transpired, for mine senses were already fled! But even still, there was something about Artorias... A certain balance of the humours...That quite perfectly fits your semblance. Heavens, could it be that... ... Oh, dear me. That was Oolacile, many centuries ago. Please excuse my fanciful musings."
Dusk of Oolacile,Talk x5,"Excuse me for such whimsical utterances. Only, it was so very odd...You, and Artorias. I owe my life to each of you. And each seem to share some resonance of sorts...Perhaps it is the nature of true greatness."
Dusk of Oolacile,Talk x6,"I still think on that creature from the Abyss that preyed on me. My faculties were far from lucid, but I quite clearly sensed certain emotions. A wrenching nostalgia, a lost joy, an object of obsession, and a sincere hope to reclaim it... Could these thoughts belong to the beast from the Abyss? But if that were true, then perhaps it is no beast after all? Oh, please forgive my ramblings. It's just that, I wish to know the truth. And no one, not even loving Elizabeth, will tell me."
Eingyi,Introduction,...Oh dear...What have we here? Are you a new servant?
Eingyi,"Answering ""Yes""","(...Hmph. But you have no eggs?*) Bah, no matter. Go along and have audience with Our Fair Lady. I pray that you will mind your manners!"
Eingyi,"Answering ""No""",Then you shall not pass. Away with you!
