name,description
Very Good! Carving,"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.|This head says ""Very Good!"". Have another look. Does it not appear quite jovial?"
Charcoal Pine Resin,"Black charcoal-like pine resin. Applies fire to right-hand weapon.|Affected weapon inflicts fire damage for a short time. Particularly effective against corporeal creatures and Undead, who have an instinctual fear of fire."
Copper Coin,"Coin made of copper. Its face shows Old Man McLoyf, god of medicine and drink.|Even coins of great value in the world often have little value in Lordran, where the accepted currency is souls.|Those who dream of returning to the outside world are fond of carrying these around."
Cracked Red Eye Orb,Online play item. Invade another world. (Hollows cannot use the item)|Defeat the master of the world you have invaded to acquire humanity.|The Cracked Red Eye Orb allows players to temporarily imitate this ability normally limited to the Darkwraiths of Kaathe.
Darksign,"The Darksign signifies an accursed Undead. Those branded with it are reborn after death, but will one day lose their mind and go Hollow.|Death triggers the Darksign, which returns its bearer to the last bonfire rested at, but at the cost of all humanity and souls."
Divine Blessing,"Holy Water from the Goddess Gwynevere. Fully restore HP and undo irregularities.|The Goddess of Sunlight, Gwynevere, daughter of the great Lord of Sunlight Gwyn, is cherished by all as a symbol of bounty and fertility."
Dragon Eye,"Online play item. Find a player who has acquired a Dragon Scale and invade that player's world to pillage it. (Only Covenanter can use the item).|An art of the transcendent apostles who pray to the ancient dragons. To be alive is to be vulnerable, and the fiery Gods are no exception. The apostles seek another plane of existence, which transcends life."
Dragon Head Stone,"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain head of dragon. Emit dragon breath.|The dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death."
Dragon Torso Stone,"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain torso of dragon. Roar like a dragon.|The dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death."
Dried Finger,"Dried finger with multiple knuckles.|Shriveled but still slightly warm. With this many knuckles, surely it cannot belong to anything human."
Dung Pie,"Atrocious fecal waste material. Throw at enemy to build up toxins, but also builds up your toxicity,|Although the stench makes it difficult to carry on one's person, turning an enemy toxic inflicts high damage over a period of time."
Egg Vermifuge,"Bitter, sour chestnut. Removes parasitic egg from body.|The egg-bearers have chosen to serve the Flame of Chaos, and the eggs symbolize this selfless choice.|Naturally, these chestnuts are forbidden, but are allowed under certain circumstances."
Elizabeth's Mushroom,"Large medicinal mushroom of Elizabeth, keeper of the sanctuary.|Eating this mushroom invigorates the flesh, and greatly restores HP for a limited duration.|Its dramatic effect can make the difference between a warrior's life and death."
Estus Flask,"The Undead treasure these dull green flasks. Fill with Estus at bonfire. Fills HP. The Estus Flasks are linked to the Fire Keepers. The Dark Tales also make reference:|An emerald flask, from the Keeper's soul  She lives to protect the flame,  And dies to protect it further."
Eye of Death,"Online play item. Lure phantoms from other worlds. (Only Covenanter can use the item while Hollows cannot)|The dreadful Eyes of Death spread disaster across neighboring worlds. Phantoms lured to the host world may end up as victims, allowing the Eyes of Death to multiply, and leading to further proliferation of bane."
Firebomb,"Bisque urn filled with black powder. Explodes, inflicting fire damage.|Relatively powerful ranged weapon, especially in situations calling for fire damage. A very precious item for low levels.|Many warriors use these to augment their strategic repertoire."
Gold Coin,"Coin made of gold, with Allfather Lloyd and his white halo shown on its face.|Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.|Those who dream of returning to the outside world are fond of carrying these around."
Gold Pine Resin,"Rare pine which emits golden sparks. Applies lightning to right-hand weapon.|Affected weapon inflicts rare lightning damage, making it effective against targets which are resilient to both magic and fire. Very effective against dragon family foes."
Green Blossom,"Green weed, shaped like a flower. Temporary boost to stamina recovery speed.|This uniquely bitter, biting herb is sometimes harvested in large quantities but normally it is an annual plant found near water."
Homeward Bone,"Bone fragment reduced to white ash. Return to last bonfire used for resting.|Bonfires are fueled by the bones of the Undead. In rare cases, the strong urge of their previous owner's [sic] to seek bonfires enchants their bones with a homeward instinct.|sic"
Humanity,"Rare tiny black sprite found on corpses. Use to gain 1 humanity and restore a large amount of HP.|This black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinguishes the humanity we hold within ourselves?"
Indictment,"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of the trespasser.|The indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon."
Lloyd's Talisman,"Talisman utilized by Allfather Lloyd's cleric knights to hunt down the Undead.|Blocks Estus recovery within a limited area.|In the outside world, the Undead are accursed creatures, and Lloyd's cleric knights are widely praised for their Undead hunts. This blessed talisman blocks Undead recovery, allowing the knights to fight with impunity."
Orange Guidance Soapstone,"Online play item. Write/view/rate message.|Messages transmit to other worlds, where they are rated. Also, rate messages of others.|In Lordran, the flow of time is distorted, and messages allow Undead to assist (or deceive) one another."
Pendant,"A simple pendant with no effect.|Even so, pleasant memories are crucial to survival on arduous journeys."
Poison Throwing Knife,"Throwing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.|When a foe is poisoned, it will continually take damage over a period of time."
Prism Stone,"Warm pebble emitting a beautiful phasing aura of seven colors, with a very rare eighth.|The rainbow stone does nothing special, but can serve as a path marker, and can be dropped off a cliff to judge height by the sound of descent.|If a loud noise is heard upon its landing, then a fall off the ledge is surely lethal."
Purging Stone,"Ash-colored stone encasing a skull. Secret treasure of Arstor, the Earl of Carim. Reduces curse build-up and breaks curse.|Humans are helpless against curses, and can only redirect their influence. The Purging Stone does not dispel curses, but receives them as a surrogate. The stone itself was once a person or some other being."
Purple Coward's Crystal,"Online play item. Quit Battle of Stoicism. (Session ends if host leaves)|Victory in this battle once led to ancient Anor Londo, but even in the absence of it's overseer, capitulation is a disgrace. In the name of a warrior's honor, do not quickly resort to the use of this crystal."
Purple Moss Clump,"Medicinal purple moss clump. Reduces poison build-up. Cures poison.|Poison builds up in the body, and when it breaks out, it causes gradual damage over a period of time. Poison can be exasperating, so be certain to carry the needed quantity of these moss clumps when destined for an afflicted area."
Red Eye Orb,Online play item. Invade another world. (Only Covenanter can use the item while Hollows cannot)|Defeat the master of the world you have invaded to acquire humanity.|The Darkwraiths of Kaathe use this orb to seek humanity and plunge further into dark. Perhaps they are more human than we?
Red Sign Soapstone,"Online play item. Leaves invasion sign. (Hollows cannot use the item)|Be summoned to another world as a dark spirit, and defeat the summoner to acquire humanity.|Certain Darkwraiths resist their descent into dark and persevere along the honorable path. The Red Soapstone is for them."
Repair Powder,"Lightly enchanted golden powder.Repairs weapon equipped in right hand.|Use of a weapon depletes its durability, eventually rendering it ineffective. Repair Powder is a precious method of repair on the battlefield, as it obviates the need for a Repairbox."
Rite of Kindling,"This secret rite allows bonfires to be bolstered further with Kindling, so that even more Estus can be collected.|Kindling was a sacred rite passed down among clerics, but all Undead can imitate the process in the same manner that they restore their Hollowing with humanity. How peculiar that humans had found little use for humanity until they turned Undead."
Rotten Pine Resin,"Rotten pine resin that has gained poison. Adds poison effect to right-hand weapon.|Hits with affected weapon build up enemy poison level. If enemy is poisoned, damage will be inflicted for a period of time."
Rubbish,Rubbish has no value.|Who in their right mind would bother carrying this around? Perhaps you need help.
Servant Roster,"Online play item. Check servants of the Daughters of Chaos.|Egg-bearer Eingyi keeps this roster of those who serve his master, a Daughter of Chaos. Eingyi praises those who offer significant humanity to alleviate his master's suffering.|But what is praise from Eingyi really worth?"
Silver Coin,"Coin made of silver, with a portrait of the legendary Knight King Rendal on its face.|Even coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.|Those who dream of returning to the outside world are fond of carrying these around."
Silver Pendant,"One of the ancient treasures of Anor Londo. Presented to Artorias for facing the Abyss.|Effectively deflects the Dark of the Abyss, especially in its magic forms."
Souvenir of Reprisal,"Blood-drained, shrunken ear. Souvenir taken for subduing the guilty.|The knights called the Blades of the Darkmoon punish the guilt-soaked offenders of the Gods and take this as proof of their conquest. The earless corpses of the guilty will be left behind as a warning to others, inspiring both fear and respect for the Gods. Such is the eternal mandate of the Dark Sun."
Sunlight Medal,"This faintly warm medal engraved with the symbol of the Sun, is the ultimate honor, awarded to those who summon the Warrior of Sunlight and complete a goal.|The symbol represents Lord Gwyn's firstborn, who lost his deity status and was expunged from the annals. But the old God of War still watches closely over his warriors."
Throwing Knife,"Throwing Knife. Used as a projectile.|Throwing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.|Undead who lack other means of ranged attacks will do well to stock a few of these."
Transient Curse,"Limb of the victim of a curse. Temporary curse allows engagement with ghosts.|The only way to fight back against ghosts, who are cursed beings, is to become cursed oneself. The safest method, however dreadful, is to cut off an arm of the dead."
Twin Humanities,"Rare tiny black sprite found on corpses.Very unusual twin humanity. Use to gain 2 humanity and restore a large amount of HP.|This black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinction is left for humanity?"
White Sign Soapstone,"Online play item. Leave summon sign. Be summoned to another world as a phantom through your sign, and defeat the area boss to acquire humanity. (Hollows cannot conduct summons)|In Lordran, the flow of time is distorted, and the White Sign Soapstone allows Undead to assist one another."
