name,school,description,intelligence,faith,slots,uses
Flash Sweat,Pyromancy,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Intense sweating reduces flame damage.|Carmina, the most accomplished pupil of Salaman the Master Pyromancer, pioneered new directions for the art of pyromancy.",0,0,1,3
Force,Miracle,"Common miracle among cleric knights. Creates shockwave.|This quickly-acting miracle inflicts no damage, but propels foes back and defends against arrows. Cleric knights use this miracle when charging into enemy mobs.",0,12,1,21
Gravelord Greatsword Dance,Miracle,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.|Many have died, and many eyes were claimed to realize the Greatsword Dance, a Gravelord ritual known only by his closest servants.",0,0,1,40
Gravelord Sword Dance,Miracle,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.|Nito sleeps deep within the Giant Catacombs, quietly overseeing all death, and waiting for his servants to usher in the Eye of Death.",0,0,1,40
Great Chaos Fireball,Pyromancy,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Hurl giant chaos fireball.|The Flames of Chaos can melt stone, producing a short-lived lava glob.",0,0,2,4
Great Combustion,Pyromancy,"Pyromancy which improves upon Combustion. Create powerful, giant flame in hand.|Great Combustion creates a powerful flame, but many sorcerers mock the simplicity of this spell.",0,0,1,8
Great Fireball,Pyromancy,"Ultimate fireball pyromancy. Hurl giant fireball.|Salaman the Master Pyromancer, also called Great Fireball after this spell, believed pyromancy was rooted in an adoration of fire. Those who acquire this spell usually agree.",0,0,1,4
Great Heal,Miracle,"Great miracle cast by advanced clerics. Restores high HP.|Great Heal is a long tale, only learned by a select few. No caster will be disappointed by the bountiful life it yields.",0,24,1,3
Great Heal Excerpt,Miracle,"Great miracle cast by advanced clerics. Restores high HP.|Great Heal Excerpt borrows from only several verses of Great Heal. As a result, it can only be cast a stark few times.",0,14,1,1
Great Heavy Soul Arrow,Sorcery,"Sorcery which improves upon Heavy Soul Arrow. Fire strong heavy soul arrow.|As difficult to use as Heavy Soul Arrow, but powerful enough to make it well worth it. Adored by certain sorcerers.",16,0,1,8
Great Lightning Spear,Miracle,"Miracle passed down by those bound to the Warrior of Sunlight covenant. Hurl giant lightning spear.|The weapon of the God of War, who inherited the sunlight of Lord Gwyn, but had respect only for arms, and nothing else.",0,30,1,10
Great Magic Barrier,Miracle,"Miracle of Bishop Havel the Rock. Cover body in powerful def. magic coating.|Havel the Rock, an old battlefield compatriot of Lord Gwyn, was the sworn enemy of Seath the Scaleless. He despised magic, and made certain to devise means of counteraction.",0,24,1,2
Great Magic Weapon,Sorcery,"Sorcery which improves upon Magic Weapon. High magic augmentation: right weapon.|At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants powerful augmentation to various weapons.",15,0,1,3
Great Soul Arrow (Dark Souls),Sorcery,"Sorcery which improves upon Soul Arrow. Fire strong soul arrow.|At the Vinheim Dragon School, the acquisition of this spell marks an apprentice's coronation as a sorcerer.",14,0,1,20
Heal,Miracle,"Elementary miracle cast by clerics. Restores HP.|To cast a miracle, the caster learns a tale of the Gods, and says a prayer to be blessed by its revelations. Heal is the shortest of such miraculous tales.",0,12,1,5
Heavy Soul Arrow,Sorcery,"Soul sorcery emphasizing power. Fire heavy soul arrow.|A more powerful, but also slower sorcery. Difficult to use due to a long cool down and a limitation on the number of castings.",12,0,1,12
Hidden Body,Sorcery,"Ancient sorcery of the lost land of Oolacile. Turns body nearly invisible.|Although perfect invisibility is unachievable due to the risk of dissipation, the caster need only stand still for a moment to blend in to environs with astounding camouflage.",14,0,1,3
Hidden Weapon,Sorcery,"Ancient sorcery of the lost land of Oolacile. Turns right weapon invisible.|Not a simple augmentation, making it dependent on the skill of its caster. An example of the capacity of Ooalcile sorceries to control light.",14,0,1,3
Homeward,Miracle,"Great miracle cast by advance clerics. Return to last bonfire rested at.|Would normally link to one's homeland, only the curse of the Undead has distorted its power, redirecting casters to a bonfire. Or perhaps for Undead, this serves as home?",0,18,1,1
Homing Crystal Soulmass,Sorcery,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire homing crystal soulmass.|The mysteries of souls, crystals, and the sorceries are deeply intertwined.",24,0,1,10
Homing Soulmass,Sorcery,Sorcery developed by Big Hat Logan. Fire homing soulmass.|Life originates in the soul; no wonder the soulmass draws toward it. This sorcery is a window into seeker Logan's methods.,18,0,1,10
Hush,Sorcery,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Masks all noises of caster.|Effectively, Vinheim is controlled by the Dragon School, and it is no wonder that the town has its share of dark secrets.",15,0,1,6
Iron Flesh,Pyromancy,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Iron flesh boosts defense and resilience.|Use of this pyromancy requires caution, as the caster becomes exceedingly heavy and unable to move freely.",0,0,1,3
Karmic Justice,Miracle,"Miracle of the black-haired witch Velka. Temporary autocounter vs. heavy damage.|For each sin there is a punishment, and it is the task of Goddess Velka to define the sin, and mete out the punishment.",0,20,1,4
Lightning Spear,Miracle,"Miracle passed down to those bound by the Warrior of Sunlight covenant. Hurl Lightning spear.|Lightning spears inflict rare lightning damage, and are very effective against magic, fire, and most of all, dragons.",0,20,1,10
Magic Barrier,Miracle,"Miracle of Bishop Havel the Rock. Cover body in defensive magic coating.|This coating greatly boosts magic defense, assisting warriors who must face the magic which Bishop Havel countered so proficiently.",0,14,1,4
Magic Shield,Sorcery,Sorcery for casters who wield swords. Magic augmentation: left shield.|Shields augmented by magic are resistant to magic attacks and have higher stability. This spell makes it possible to challenge powerful foes with a small shield.,10,0,1,5
Magic Weapon,Sorcery,Sorcery for casters who wield swords. Magic augmentation: right weapon.|The power of the magic swordsmen of Vinheim is predicated upon this and Magic Shield. Many warriors learn sorcery just for this.,10,0,1,5
Poison Mist (Dark Souls),Pyromancy,"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create poison mist.|Eingyi became an egg-bearing Undead who serves a deformed young girl who speaks an unintelligible tongue.",0,0,1,3
Power Within,Pyromancy,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Short strength/endurance boost, but lose HP.|Excessive power eats away the life-force of its caster, and like all dangerous spells, Power Within was kept secret for eons.",0,0,1,1
Pursuers,Sorcery,"Sorcery of Manus, Father of the Abyss. Grant a fleeting will to the Dark of humanity, and volley the result.|The will feels envy, or perhaps love, and despite the inevitably trite and tragic ending, the will sees no alternative, and is driven madly toward its target.",32,0,2,3
Remedy,Sorcery,"Sorcery of the red-robed Yulva, one of the Sealers of New Londo. Reduce bleeding and poison build-up, and undo various poisonous effects.|One of the New Londo's unique healing sorceries. Perhaps she abandoned her Sealer duty to take her healing arts back to Blighttown.",16,0,1,4
Repair,Sorcery,"Ancient sorcery of the lost land of Oolacile. Repair equipped weapons and armor.|This sorcery was part of everyday life in Oolacile. Its effects resembles Repair Powder, which must have found its way into the culture of this lost land.",14,0,1,1
Replenishment,Miracle,"Common miracle amongst cleric knights. Gradual HP restoration.|Beware of the cleric knight blessed by Replenishment, for he shall not fall easily.",0,16,1,2
Resist Curse,Sorcery,"Sorcery of the red-robed remedician. Ingward, guardian of the seal in New Londo. Sacrifice humanity to undo curse.|Abhorrent curses eat away at the core of one's very existence, and cleansing oneself of curses is no easy task indeed.",16,0,1,4
Seek Guidance,Miracle,"Miracle of Clerics on an Undead mission. Display more guidance from other worlds.|Guidance facilitates communication between Undead, but their value varies greatly. A balance of faith and wisdom is required.",0,12,1,5
Soothing Sunlight,Miracle,"Special miracle granted to the maidens of Gwynevere, Princess of the Sun. Restores high HP for self and vicinity.|The miracles of Gwynevere, the princess cherished by all, grant their blessing to a great many warriors.",0,48,2,3
Soul Arrow (Dark Souls),Sorcery,"Elementary sorcery. Fire a soul arrow.|Soul arrows inflict magic damage, making them effective against iron armor, tough scales, and other physically resilient materials.",10,0,1,30
Soul Spear (Dark Souls),Sorcery,"Sorcery developed by Big Hat Logan. Fire piercing soul spear.|A symbol of Logan's strength, the soul spear is referenced repeatedly in the legends, and is said to be on par with Lord Gwyn's lightning.",36,0,1,4
Strong Magic Shield,Sorcery,"Sorcery which improves upon Magic Shield. High magic augmentation: left shield.|At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants temporary strength to greatshields.",15,0,1,3
Sunlight Blade,Miracle,"Miracle wielded by Lord Gwyn's firstborn. Boost right weapon with rays of Sun.|The power of sunlight, manifested as lightning, is very effective against dragons.|When the eldest son was stripped of his deific status, he left this on his father's coffin, perhaps as a final farewell.",0,30,1,1
Sunlight Spear,Miracle,"Miracle born from the fading soul of Gwyn.|Hurl sunlight spear.|In the war that marked the dawn of the Age of Fire, Gwyn wielded these rays of sunlight, which remain fierce even as they fade.",0,50,2,5
Toxic Mist (Dark Souls),Pyromancy,"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create intense poison mist.|Why was Eingyi driven from the Great Swamp? One only need cast this pyromancy, a perverse diversion from the art of fire, to find out.",0,0,1,1
Tranquil Walk of Peace,Miracle,"Outland miracle, foreign to the Way of White Slows all walking within effect area.|This miracle is normally used to flee, as it slows walking but does not affect attacks, but nevertheless defines peace perfectly.",0,18,1,5
Undead Rapport,Pyromancy,"Advanced pyromancy of Quelana of Izalith. Charm Undead and gain temporary allies.|The living are lured by flame, and this relationship is part and parcel to the art of pyromancy. Can be used by either gender.",0,0,1,7
Vow of Silence,Miracle,"Secret rite of black-haired witch Velka. Prevents casting of magic within effect area.|Velka, the Goddess of Sin, is a rogue deity, but she is versed in arts both new and old, and is considered to have a great range of influence even as gods are concerned.",0,30,2,2
White Dragon Breath,Sorcery,"Sorcery developed by Logan during his infatuation with Seath the Scaleless. Emit crystal breath of Seath the Scaleless.|Although it no longer causes curses, what madness caused old Big Hat to appropriate this frightful power of the ancient dragons?",50,0,1,20
Wrath of the Gods,Miracle,Primal form of Force. Create powerful shockwave.|Wrath of the Gods was an epic tale that tattered into the modern Force. This primal form of Force emits a shockwave that also emits damage.,0,28,1,3
