weapon,path,level,physical,magic,fire,lightning,strength,dexterity,intelligence,faith,physical_reduction,magic_reduction,fire_reduction,lightning_reduction
Battle Axe,Lightning,2,197,0,0,197,0,0,0,0,55,10,40,46.4
Battle Axe,Lightning,3,210,0,0,210,0,0,0,0,55,10,40,49.6
Battle Axe,Lightning,4,224,0,0,224,0,0,0,0,55,10,40,52.8
Battle Axe,Lightning,5,237,0,0,237,0,0,0,0,55,10,40,56.0
Butcher Knife,Standard,0,90,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,1,99,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,2,108,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,3,116,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,4,126,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,5,135,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,6,144,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,7,153,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,8,162,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,9,171,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,10,180,0,0,0,B,0,0,0,55,10,40,40
Butcher Knife,Standard,11,188,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Standard,12,198,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Standard,13,207,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Standard,14,216,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Standard,15,225,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Raw,0,156,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Raw,1,166,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Raw,2,176,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Raw,3,187,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Raw,4,197,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Raw,5,208,0,0,0,C,0,0,0,55,10,40,40
Butcher Knife,Crystal,0,198,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Crystal,1,207,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Crystal,2,216,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Crystal,3,225,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Crystal,4,233,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Crystal,5,243,0,0,0,A,0,0,0,55,10,40,40
Butcher Knife,Magic,0,102,109,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,1,108,116,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,2,115,124,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,3,122,131,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,4,129,138,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,5,136,146,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,6,142,153,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,7,149,160,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,8,156,167,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,9,163,175,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Magic,10,170,182,0,0,D,0,C,0,55,10,40,40
Butcher Knife,Enchanted,0,136,144,0,0,E,0,C,0,55,10,40,40
Butcher Knife,Enchanted,1,141,148,0,0,E,0,C,0,55,10,40,40
Butcher Knife,Enchanted,2,146,152,0,0,E,0,B,0,55,10,40,40
Butcher Knife,Enchanted,3,152,156,0,0,E,0,B,0,55,10,40,40
Butcher Knife,Enchanted,4,157,161,0,0,D,0,A,0,55,10,40,40
Butcher Knife,Enchanted,5,163,167,0,0,D,0,A,0,55,10,40,40
Butcher Knife,Divine,0,91,111,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,1,97,118,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,2,103,125,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,3,109,133,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,4,115,140,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,5,122,148,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,6,128,155,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,7,134,162,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,8,140,170,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,9,146,177,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Divine,10,152,185,0,0,D,0,0,C,55,10,40,40
Butcher Knife,Occult,0,124,136,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Occult,1,131,142,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Occult,2,138,149,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Occult,3,146,156,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Occult,4,153,163,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Occult,5,161,170,0,0,D,0,0,B,55,10,40,40
Butcher Knife,Fire,0,116,0,116,0,0,0,0,0,55,10,40.0,40
Butcher Knife,Fire,1,126,0,126,0,0,0,0,0,55,10,40.4,40
Butcher Knife,Fire,2,135,0,135,0,0,0,0,0,55,10,40.8,40
Butcher Knife,Fire,3,144,0,144,0,0,0,0,0,55,10,41.2,40
Butcher Knife,Fire,4,153,0,153,0,0,0,0,0,55,10,41.6,40
Butcher Knife,Fire,5,162,0,162,0,0,0,0,0,55,10,42.0,40
Butcher Knife,Fire,6,172,0,172,0,0,0,0,0,55,10,42.4,40
Butcher Knife,Fire,7,183,0,183,0,0,0,0,0,55,10,42.8,40
Butcher Knife,Fire,8,194,0,194,0,0,0,0,0,55,10,43.2,40
Butcher Knife,Fire,9,205,0,205,0,0,0,0,0,55,10,43.6,40
Butcher Knife,Fire,10,216,0,216,0,0,0,0,0,55,10,44.0,40
Butcher Knife,Chaos,0,156,0,180,0,0,0,0,0,55,10,40.0,40
Butcher Knife,Chaos,1,163,0,188,0,0,0,0,0,55,10,40.8,40
Butcher Knife,Chaos,2,171,0,198,0,0,0,0,0,55,10,41.6,40
Butcher Knife,Chaos,3,179,0,207,0,0,0,0,0,55,10,42.4,40
Butcher Knife,Chaos,4,187,0,216,0,0,0,0,0,55,10,43.2,40
Butcher Knife,Chaos,5,195,0,225,0,0,0,0,0,55,10,44.0,40
Butcher Knife,Lightning,0,140,0,0,162,0,0,0,0,55,10,40,40.0
Butcher Knife,Lightning,1,148,0,0,171,0,0,0,0,55,10,40,43.2
Butcher Knife,Lightning,2,156,0,0,180,0,0,0,0,55,10,40,46.4
Butcher Knife,Lightning,3,163,0,0,188,0,0,0,0,55,10,40,49.6
Butcher Knife,Lightning,4,171,0,0,198,0,0,0,0,55,10,40,52.8
Butcher Knife,Lightning,5,179,0,0,207,0,0,0,0,55,10,40,56.0
Gargoyle Tail Axe,Standard,0,93,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,1,102,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,2,111,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,3,120,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,4,130,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,5,139,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,6,148,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,7,158,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,8,167,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,9,176,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,10,186,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,11,195,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,12,204,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,13,213,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,14,223,0,0,0,D,B,0,0,55,10,40,40
Gargoyle Tail Axe,Standard,15,232,0,0,0,D,B,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,0,160,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,1,171,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,2,181,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,3,192,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,4,203,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Raw,5,214,0,0,0,E,C,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,0,204,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,1,213,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,2,223,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,3,232,0,0,0,D,C,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,4,241,0,0,0,D,B,0,0,55,10,40,40
Gargoyle Tail Axe,Crystal,5,251,0,0,0,D,B,0,0,55,10,40,40
Gargoyle Tail Axe,Magic,0,105,114,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,1,112,121,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,2,119,129,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,3,126,136,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,4,133,144,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,5,140,152,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,6,147,159,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,7,154,167,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,8,161,174,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,9,168,182,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Magic,10,175,190,0,0,E,D,C,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,0,140,148,0,0,E,E,C,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,1,145,152,0,0,E,E,B,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,2,151,156,0,0,E,E,B,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,3,156,161,0,0,E,E,B,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,4,162,165,0,0,E,E,A,0,55,10,40,40
Gargoyle Tail Axe,Enchanted,5,168,171,0,0,E,E,A,0,55,10,40,40
Gargoyle Tail Axe,Divine,0,94,115,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,1,100,123,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,2,107,130,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,3,113,138,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,4,119,146,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,5,126,154,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,6,132,161,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,7,138,169,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,8,144,177,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,9,151,184,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Divine,10,157,192,0,0,E,D,0,C,55,10,40,40
Gargoyle Tail Axe,Occult,0,128,140,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Occult,1,135,147,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Occult,2,143,154,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Occult,3,151,161,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Occult,4,158,168,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Occult,5,166,175,0,0,E,D,0,B,55,10,40,40
Gargoyle Tail Axe,Fire,0,120,0,120,0,0,0,0,0,55,10,40.0,40
Gargoyle Tail Axe,Fire,1,130,0,130,0,0,0,0,0,55,10,40.4,40
Gargoyle Tail Axe,Fire,2,139,0,139,0,0,0,0,0,55,10,40.8,40
Gargoyle Tail Axe,Fire,3,148,0,148,0,0,0,0,0,55,10,41.2,40
Gargoyle Tail Axe,Fire,4,158,0,158,0,0,0,0,0,55,10,41.6,40
Gargoyle Tail Axe,Fire,5,167,0,167,0,0,0,0,0,55,10,42.0,40
Gargoyle Tail Axe,Fire,6,178,0,178,0,0,0,0,0,55,10,42.4,40
Gargoyle Tail Axe,Fire,7,189,0,189,0,0,0,0,0,55,10,42.8,40
Gargoyle Tail Axe,Fire,8,200,0,200,0,0,0,0,0,55,10,43.2,40
Gargoyle Tail Axe,Fire,9,212,0,212,0,0,0,0,0,55,10,43.6,40
Gargoyle Tail Axe,Fire,10,223,0,223,0,0,0,0,0,55,10,44.0,40
Gargoyle Tail Axe,Chaos,0,145,0,167,0,0,0,0,0,55,10,40.0,40
Gargoyle Tail Axe,Chaos,1,153,0,176,0,0,0,0,0,55,10,40.8,40
Gargoyle Tail Axe,Chaos,2,162,0,186,0,0,0,0,0,55,10,41.6,40
Gargoyle Tail Axe,Chaos,3,170,0,195,0,0,0,0,0,55,10,42.4,40
Gargoyle Tail Axe,Chaos,4,178,0,204,0,0,0,0,0,55,10,43.2,40
Gargoyle Tail Axe,Chaos,5,186,0,213,0,0,0,0,0,55,10,44.0,40
Gargoyle Tail Axe,Lightning,0,167,0,0,167,0,0,0,0,55,10,40,40.0
Gargoyle Tail Axe,Lightning,1,180,0,0,180,0,0,0,0,55,10,40,43.2
Gargoyle Tail Axe,Lightning,2,193,0,0,193,0,0,0,0,55,10,40,46.4
Gargoyle Tail Axe,Lightning,3,206,0,0,206,0,0,0,0,55,10,40,49.6
Gargoyle Tail Axe,Lightning,4,219,0,0,219,0,0,0,0,55,10,40,52.8
Gargoyle Tail Axe,Lightning,5,232,0,0,232,0,0,0,0,55,10,40,56.0
Hand Axe,Standard,0,80,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,1,88,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,2,96,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,3,104,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,4,112,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,5,120,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,6,128,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,7,136,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,8,144,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,9,152,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,10,160,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,11,168,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,12,176,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,13,184,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,14,192,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Standard,15,200,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Raw,0,138,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Raw,1,147,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Raw,2,156,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Raw,3,165,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Raw,4,174,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Raw,5,184,0,0,0,D,D,0,0,55,10,40,40
Hand Axe,Crystal,0,176,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Crystal,1,184,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Crystal,2,192,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Crystal,3,200,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Crystal,4,208,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Crystal,5,216,0,0,0,C,D,0,0,55,10,40,40
Hand Axe,Magic,0,90,97,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,1,96,104,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,2,102,110,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,3,108,117,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,4,114,123,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,5,120,130,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,6,125,136,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,7,132,143,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,8,138,149,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,9,144,156,0,0,E,E,C,0,55,10,40,40
Hand Axe,Magic,10,150,162,0,0,E,E,C,0,55,10,40,40
Hand Axe,Enchanted,0,120,128,0,0,E,E,C,0,55,10,40,40
Hand Axe,Enchanted,1,124,131,0,0,E,E,C,0,55,10,40,40
Hand Axe,Enchanted,2,129,135,0,0,E,E,B,0,55,10,40,40
Hand Axe,Enchanted,3,134,139,0,0,E,E,B,0,55,10,40,40
Hand Axe,Enchanted,4,139,143,0,0,E,E,A,0,55,10,40,40
Hand Axe,Enchanted,5,144,148,0,0,E,E,A,0,55,10,40,40
Hand Axe,Divine,0,81,99,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,1,86,105,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,2,91,112,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,3,97,118,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,4,102,125,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,5,108,132,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,6,113,138,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,7,118,145,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,8,124,151,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,9,129,158,0,0,D,E,0,C,55,10,40,40
Hand Axe,Divine,10,135,165,0,0,D,E,0,C,55,10,40,40
Hand Axe,Occult,0,110,120,0,0,D,E,0,B,55,10,40,40
Hand Axe,Occult,1,116,125,0,0,D,E,0,B,55,10,40,40
Hand Axe,Occult,2,123,132,0,0,D,E,0,B,55,10,40,40
Hand Axe,Occult,3,129,138,0,0,D,E,0,B,55,10,40,40
Hand Axe,Occult,4,136,144,0,0,D,E,0,B,55,10,40,40
Hand Axe,Occult,5,143,150,0,0,D,E,0,B,55,10,40,40
Hand Axe,Fire,0,104,0,104,0,0,0,0,0,55,10,40.0,40
Hand Axe,Fire,1,112,0,112,0,0,0,0,0,55,10,40.4,40
Hand Axe,Fire,2,120,0,120,0,0,0,0,0,55,10,40.8,40
Hand Axe,Fire,3,128,0,128,0,0,0,0,0,55,10,41.2,40
Hand Axe,Fire,4,136,0,136,0,0,0,0,0,55,10,41.6,40
Hand Axe,Fire,5,144,0,144,0,0,0,0,0,55,10,42.0,40
Hand Axe,Fire,6,153,0,153,0,0,0,0,0,55,10,42.4,40
Hand Axe,Fire,7,163,0,163,0,0,0,0,0,55,10,42.8,40
Hand Axe,Fire,8,172,0,172,0,0,0,0,0,55,10,43.2,40
Hand Axe,Fire,9,182,0,182,0,0,0,0,0,55,10,43.6,40
Hand Axe,Fire,10,192,0,192,0,0,0,0,0,55,10,44.0,40
Hand Axe,Chaos,0,126,0,144,0,0,0,0,0,55,10,40.0,40
Hand Axe,Chaos,1,133,0,152,0,0,0,0,0,55,10,40.8,40
Hand Axe,Chaos,2,140,0,160,0,0,0,0,0,55,10,41.6,40
Hand Axe,Chaos,3,147,0,168,0,0,0,0,0,55,10,42.4,40
Hand Axe,Chaos,4,154,0,176,0,0,0,0,0,55,10,43.2,40
Hand Axe,Chaos,5,161,0,184,0,0,0,0,0,55,10,44.0,40
Hand Axe,Lightning,0,144,0,0,144,0,0,0,0,55,10,40,40.0
Hand Axe,Lightning,1,155,0,0,155,0,0,0,0,55,10,40,43.2
Hand Axe,Lightning,2,166,0,0,166,0,0,0,0,55,10,40,46.4
Hand Axe,Lightning,3,177,0,0,177,0,0,0,0,55,10,40,49.6
Hand Axe,Lightning,4,188,0,0,188,0,0,0,0,55,10,40,52.8
Hand Axe,Lightning,5,200,0,0,200,0,0,0,0,55,10,40,56.0
Black Bow of Pharis,Standard,0,34,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,1,37,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,2,40,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,3,44,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,4,47,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,5,51,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,6,54,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,7,57,0,0,0,E,S,0,0,0,0,0,0
Black Bow of Pharis,Standard,8,61,0,0,0,E,S,0,0,0,0,0,0
