name,location
Guardian,Royal Wood
Gwyn,Kiln of the First Flame
Gwyndolin,Anor Londo
Gwynevere,Anor Londo
Hellkite Dragon,Undead Burg
Hollow Soldier,Firelink Shrine
Hollow Soldier,Northern Undead Asylum
Hollow Soldier,Undead Burg
Hollow Soldier,Undead Parish
Hollow Thief,Undead Burg
Hollow Warrior,Firelink Shrine
Hollow Warrior,Undead Burg
Hollow,Depths
Hollow,New Londo Ruins
Hollow,Painted World of Ariamis
Hollow,Undead Asylum
Hollow,Undead Burg
Hollow,Undead Parish
Humanity Phantom,Chasm of the Abyss
Hydra,Ash Lake
Hydra,Darkroot Basin
Infested Barbarian,Blighttown
Infested Ghoul,Blighttown
Ingward,New Londo Ruins
Ingward,Firelink Shrine
Iron Golem,Sen's Fortress
Ja-Yearl,New Londo Ruins
Kaathe,The Abyss
Kirk,Demon Ruins
Kirk,Depths
Kirk,Lost Izalith
Laurentius,Depths
Laurentius,Blighttown
Lautrec,Undead Parish
Lautrec,Firelink Shrine
Lautrec,Anor Londo
Logan,Sen's Fortress
Logan,Firelink Shrine
Logan, Duke's Archives
Manus,Chasm of the Abyss
Mass of Souls,New Londo Ruins
Mimic,Anor Londo
Mimic,Oolacile Township
Mimic,Sen's Fortress
Mimic,The Duke's Archives
Moonlight Butterfly,Crystal Cave
Moonlight Butterfly,Darkroot Garden
Mushroom Child,Darkroot Garden
Mushroom Child,The Great Hollow
Mushroom Parent,Ash Lake
Mushroom Parent,Darkroot Garden
Mushroom Parent,The Great Hollow
Necromancer,The Catacombs
Nico,Firelink Shrine
Nico,Tomb of the Giants
Nito,Tomb of the Giants
Ornstein,Anor Londo
Oscar,Undead Asylum
Oswald,Undead Parish
Painting Guardian,Anor Londo
Parasitic Wall Hugger,Blighttown
Patches,The Catacombs
Patches,Tomb of the Giants
Patches,Firelink Shrine
Petrus,Firelink Shrine
Phalanx,Painted World of Ariamis
Pinwheel Servant,Tomb of the Giants
Pinwheel,The Catacombs
Pisaca,The Duke's Archives
Possessed Tree,Darkroot Garden
Priscilla,Painted World of Ariamis
Quelaag's Sister,Quelaag's Domain
Quelaag,Quelaag's Domain
Quelana,Blighttown
Reah,Firelink Shrine
Reah,Tomb of the Giants
Reah,Undead Parish
Reah,The Duke's Archives
Ricard,Sen's Fortress
Rickert,New Londo Ruins
Royal Sentinel,Anor Londo
Sanctuary Guardian,Sanctuary Garden
Seath,Crystal Cave
Seath,The Duke's Archives
Sentinel,Anor Londo
Serpent Mage,Sen's Fortress
Serpent Mage,The Duke's Archives
Serpent Soldier,Sen's Fortress
Serpent Soldier,The Duke's Archives
Shiva,Darkroot Garden
Shiva,Blighttown
Shiva's Bodyguard,Darkroot Garden
Shiva's Bodyguard,Blighttown
Sieglinde,The Duke's Archives
Sieglinde,Firelink Shrine
Sieglinde,Ash Lake
Siegmeyer,Sen's Fortress
Siegmeyer,Anor Londo
Siegmeyer,Firelink Shrine
Siegmeyer,Lost Izalith
Siegmeyer,Ash Lake
Sif,Darkroot Garden
Silver Knight,Anor Londo
Skeletal Beast,Tomb of the Giants
Skeleton,Firelink Shrine
Skeleton,The Catacombs
Slime,Depths
Smough,Anor Londo
Snow Rat,Painted World of Ariamis
Snuggly,Northern Undead Asylum
Solaire,Undead Parish
Solaire,Anor Londo
Solaire,Undead Parish
Solaire,Lost Izalith
Stone Dragon,Ash Lake
Stone Knight,Darkroot Garden
Stray Demon,Northern Undead Asylum
Taurus Demon,Demon Ruins
Taurus Demon,Undead Burg
Tree Lizard,Darkroot Garden
Undead Crystal Soldier,The Duke's Archives
Undead Crystal Soldier,The Duke's Archives
Undead Dragon,Painted World of Ariamis
Undead Dragon,The Valley of Drakes
Undead Female Merchant,Undead Burg
Undead Male Merchant,Undead Burg
Undead Rat,Depths
Undead Rat,Firelink Shrine
Undead Rat,Undead Parish
Vamos,The Catacombs
Vile Maggot,Demon Ruins
Vile Maggot,Quelaag's Domain
Vince,Firelink Shrine
Vince,Tomb of the Giants
Wisp,New Londo Ruins
Wisp,The Catacombs
Wooden Scarecrow,Royal Wood
