name,url,description
Fire Tempest,https://darksouls.fandom.com/wiki/Fire_Tempest,Primal pyromancy of Quelana of Izalith. Erect giant fire pillars in vicinity.|The tempestuous raging flames resemble those summoned by the Daughters of Chaos when they challenged the ancient dragons and scorched the very earth.
Fire Whip,https://darksouls.fandom.com/wiki/Fire_Whip,"Primal pyromancy taught by Quelana of Izalith. Sweep foes with fire whip.|The root pyromancy of Combustion, but much more difficult to wield."
Fireball,https://darksouls.fandom.com/wiki/Fireball,"Standard pyromancy of the Great Swamp. Hurl fireball.|The fire damage caused by fireballs makes them effective against corporeal beasts and Undead, who by nature fear flame."
Firestorm,https://darksouls.fandom.com/wiki/Firestorm,"Primal pyromancy taught by Quelana of Izalith. Erect fire pillars in vicinity.|The storm of flame is indiscriminate,and incinerates all nearby life."
Flash Sweat,https://darksouls.fandom.com/wiki/Flash_Sweat,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Intense sweating reduces flame damage.|Carmina, the most accomplished pupil of Salaman the Master Pyromancer, pioneered new directions for the art of pyromancy."
Force,https://darksouls.fandom.com/wiki/Force,"Common miracle among cleric knights. Creates shockwave.|This quickly-acting miracle inflicts no damage, but propels foes back and defends against arrows. Cleric knights use this miracle when charging into enemy mobs."
Gravelord Greatsword Dance,https://darksouls.fandom.com/wiki/Gravelord_Greatsword_Dance,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.|Many have died, and many eyes were claimed to realize the Greatsword Dance, a Gravelord ritual known only by his closest servants."
Gravelord Sword Dance,https://darksouls.fandom.com/wiki/Gravelord_Sword_Dance,"Miracle known only by the servants of the first dead, Gravelord Nito. Giant Gravelord swords jut out in vicinity.|Nito sleeps deep within the Giant Catacombs, quietly overseeing all death, and waiting for his servants to usher in the Eye of Death."
Great Chaos Fireball,https://darksouls.fandom.com/wiki/Great_Chaos_Fireball,"Art of the Flame of Chaos, which engulfed the Witch of Izalith and her daughters. Hurl giant chaos fireball.|The Flames of Chaos can melt stone, producing a short-lived lava glob."
Great Combustion,https://darksouls.fandom.com/wiki/Great_Combustion,"Pyromancy which improves upon Combustion. Create powerful, giant flame in hand.|Great Combustion creates a powerful flame, but many sorcerers mock the simplicity of this spell."
Great Fireball,https://darksouls.fandom.com/wiki/Great_Fireball,"Ultimate fireball pyromancy. Hurl giant fireball.|Salaman the Master Pyromancer, also called Great Fireball after this spell, believed pyromancy was rooted in an adoration of fire. Those who acquire this spell usually agree."
Great Heal Excerpt,https://darksouls.fandom.com/wiki/Great_Heal_Excerpt,"Great miracle cast by advanced clerics. Restores high HP.|Great Heal Excerpt borrows from only several verses of Great Heal. As a result, it can only be cast a stark few times."
Great Heal,https://darksouls.fandom.com/wiki/Great_Heal,"Great miracle cast by advanced clerics. Restores high HP.|Great Heal is a long tale, only learned by a select few. No caster will be disappointed by the bountiful life it yields."
Great Heavy Soul Arrow,https://darksouls.fandom.com/wiki/Great_Heavy_Soul_Arrow,"Sorcery which improves upon Heavy Soul Arrow. Fire strong heavy soul arrow.|As difficult to use as Heavy Soul Arrow, but powerful enough to make it well worth it. Adored by certain sorcerers."
Great Lightning Spear,https://darksouls.fandom.com/wiki/Great_Lightning_Spear,"Miracle passed down by those bound to the Warrior of Sunlight covenant. Hurl giant lightning spear.|The weapon of the God of War, who inherited the sunlight of Lord Gwyn, but had respect only for arms, and nothing else."
Great Magic Barrier,https://darksouls.fandom.com/wiki/Great_Magic_Barrier,"Miracle of Bishop Havel the Rock. Cover body in powerful def. magic coating.|Havel the Rock, an old battlefield compatriot of Lord Gwyn, was the sworn enemy of Seath the Scaleless. He despised magic, and made certain to devise means of counteraction."
Great Magic Weapon,https://darksouls.fandom.com/wiki/Great_Magic_Weapon,"Sorcery which improves upon Magic Weapon. High magic augmentation: right weapon.|At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants powerful augmentation to various weapons."
Great Soul Arrow,https://darksouls.fandom.com/wiki/Great_Soul_Arrow_(Dark_Souls),"Sorcery which improves upon Soul Arrow. Fire strong soul arrow.|At the Vinheim Dragon School, the acquisition of this spell marks an apprentice's coronation as a sorcerer."
Heal,https://darksouls.fandom.com/wiki/Heal,"Elementary miracle cast by clerics. Restores HP.|To cast a miracle, the caster learns a tale of the Gods, and says a prayer to be blessed by its revelations. Heal is the shortest of such miraculous tales."
Heavy Soul Arrow,https://darksouls.fandom.com/wiki/Heavy_Soul_Arrow,"Soul sorcery emphasizing power. Fire heavy soul arrow.|A more powerful, but also slower sorcery. Difficult to use due to a long cool down and a limitation on the number of castings."
Hidden Body,https://darksouls.fandom.com/wiki/Hidden_Body,"Ancient sorcery of the lost land of Oolacile. Turns body nearly invisible.|Although perfect invisibility is unachievable due to the risk of dissipation, the caster need only stand still for a moment to blend in to environs with astounding camouflage."
Hidden Weapon,https://darksouls.fandom.com/wiki/Hidden_Weapon,"Ancient sorcery of the lost land of Oolacile. Turns right weapon invisible.|Not a simple augmentation, making it dependent on the skill of its caster. An example of the capacity of Ooalcile sorceries to control light."
Homeward,https://darksouls.fandom.com/wiki/Homeward,"Great miracle cast by advance clerics. Return to last bonfire rested at.|Would normally link to one's homeland, only the curse of the Undead has distorted its power, redirecting casters to a bonfire. Or perhaps for Undead, this serves as home?"
Homing Crystal Soulmass,https://darksouls.fandom.com/wiki/Homing_Crystal_Soulmass,"Sorcery boosted by the knowledge Logan acquired at the Regal Archives. Fire homing crystal soulmass.|The mysteries of souls, crystals, and the sorceries are deeply intertwined."
Homing Soulmass,https://darksouls.fandom.com/wiki/Homing_Soulmass,Sorcery developed by Big Hat Logan. Fire homing soulmass.|Life originates in the soul; no wonder the soulmass draws toward it. This sorcery is a window into seeker Logan's methods.
Hush,https://darksouls.fandom.com/wiki/Hush,"Sorcery developed by a certain surreptitious sorcerer at Vinheim Dragon School. Masks all noises of caster.|Effectively, Vinheim is controlled by the Dragon School, and it is no wonder that the town has its share of dark secrets."
Iron Flesh,https://darksouls.fandom.com/wiki/Iron_Flesh,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Iron flesh boosts defense and resilience.|Use of this pyromancy requires caution, as the caster becomes exceedingly heavy and unable to move freely."
Karmic Justice,https://darksouls.fandom.com/wiki/Karmic_Justice,"Miracle of the black-haired witch Velka. Temporary autocounter vs. heavy damage.|For each sin there is a punishment, and it is the task of Goddess Velka to define the sin, and mete out the punishment."
Lightning Spear,https://darksouls.fandom.com/wiki/Lightning_Spear,"Miracle passed down to those bound by the Warrior of Sunlight covenant. Hurl Lightning spear.|Lightning spears inflict rare lightning damage, and are very effective against magic, fire, and most of all, dragons."
Magic Barrier,https://darksouls.fandom.com/wiki/Magic_Barrier,"Miracle of Bishop Havel the Rock. Cover body in defensive magic coating.|This coating greatly boosts magic defense, assisting warriors who must face the magic which Bishop Havel countered so proficiently."
Magic Shield,https://darksouls.fandom.com/wiki/Magic_Shield,Sorcery for casters who wield swords. Magic augmentation: left shield.|Shields augmented by magic are resistant to magic attacks and have higher stability. This spell makes it possible to challenge powerful foes with a small shield.
Magic Weapon,https://darksouls.fandom.com/wiki/Magic_Weapon,Sorcery for casters who wield swords. Magic augmentation: right weapon.|The power of the magic swordsmen of Vinheim is predicated upon this and Magic Shield. Many warriors learn sorcery just for this.
Poison Mist,https://darksouls.fandom.com/wiki/Poison_Mist_(Dark_Souls),"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create poison mist.|Eingyi became an egg-bearing Undead who serves a deformed young girl who speaks an unintelligible tongue."
Power Within,https://darksouls.fandom.com/wiki/Power_Within,"Pyromancy of Carmina, who harnessed the power of flame to actualize the inner-self. Short strength/endurance boost, but lose HP.|Excessive power eats away the life-force of its caster, and like all dangerous spells, Power Within was kept secret for eons."
Pursuers,https://darksouls.fandom.com/wiki/Pursuers,"Sorcery of Manus, Father of the Abyss. Grant a fleeting will to the Dark of humanity, and volley the result.|The will feels envy, or perhaps love, and despite the inevitably trite and tragic ending, the will sees no alternative, and is driven madly toward its target."
Remedy,https://darksouls.fandom.com/wiki/Remedy,"Sorcery of the red-robed Yulva, one of the Sealers of New Londo. Reduce bleeding and poison build-up, and undo various poisonous effects.|One of the New Londo's unique healing sorceries. Perhaps she abandoned her Sealer duty to take her healing arts back to Blighttown."
Repair,https://darksouls.fandom.com/wiki/Repair,"Ancient sorcery of the lost land of Oolacile. Repair equipped weapons and armor.|This sorcery was part of everyday life in Oolacile. Its effects resembles Repair Powder, which must have found its way into the culture of this lost land."
Replenishment,https://darksouls.fandom.com/wiki/Replenishment,"Common miracle amongst cleric knights. Gradual HP restoration.|Beware of the cleric knight blessed by Replenishment, for he shall not fall easily."
Resist Curse,https://darksouls.fandom.com/wiki/Resist_Curse,"Sorcery of the red-robed remedician. Ingward, guardian of the seal in New Londo. Sacrifice humanity to undo curse.|Abhorrent curses eat away at the core of one's very existence, and cleansing oneself of curses is no easy task indeed."
Seek Guidance,https://darksouls.fandom.com/wiki/Seek_Guidance,"Miracle of Clerics on an Undead mission. Display more guidance from other worlds.|Guidance facilitates communication between Undead, but their value varies greatly. A balance of faith and wisdom is required."
Soothing Sunlight,https://darksouls.fandom.com/wiki/Soothing_Sunlight,"Special miracle granted to the maidens of Gwynevere, Princess of the Sun. Restores high HP for self and vicinity.|The miracles of Gwynevere, the princess cherished by all, grant their blessing to a great many warriors."
Soul Arrow,https://darksouls.fandom.com/wiki/Soul_Arrow_(Dark_Souls),"Elementary sorcery. Fire a soul arrow.|Soul arrows inflict magic damage, making them effective against iron armor, tough scales, and other physically resilient materials."
Soul Spear,https://darksouls.fandom.com/wiki/Soul_Spear_(Dark_Souls),"Sorcery developed by Big Hat Logan. Fire piercing soul spear.|A symbol of Logan's strength, the soul spear is referenced repeatedly in the legends, and is said to be on par with Lord Gwyn's lightning."
Strong Magic Shield,https://darksouls.fandom.com/wiki/Strong_Magic_Shield,"Sorcery which improves upon Magic Shield. High magic augmentation: left shield.|At Vinheim Dragon School, only magic swordsmen on special orders are allowed to learn this spell which grants temporary strength to greatshields."
Sunlight Blade,https://darksouls.fandom.com/wiki/Sunlight_Blade,"Miracle wielded by Lord Gwyn's firstborn. Boost right weapon with rays of Sun.|The power of sunlight, manifested as lightning, is very effective against dragons.|When the eldest son was stripped of his deific status, he left this on his father's coffin, perhaps as a final farewell."
Sunlight Spear,https://darksouls.fandom.com/wiki/Sunlight_Spear,"Miracle born from the fading soul of Gwyn.|Hurl sunlight spear.|In the war that marked the dawn of the Age of Fire, Gwyn wielded these rays of sunlight, which remain fierce even as they fade."
Toxic Mist,https://darksouls.fandom.com/wiki/Toxic_Mist_(Dark_Souls),"Unique pyromancy crafted by Eingyi, considered a heretic even at the Great Swamp. Create intense poison mist.|Why was Eingyi driven from the Great Swamp? One only need cast this pyromancy, a perverse diversion from the art of fire, to find out."
Tranquil Walk of Peace,https://darksouls.fandom.com/wiki/Tranquil_Walk_of_Peace,"Outland miracle, foreign to the Way of White Slows all walking within effect area.|This miracle is normally used to flee, as it slows walking but does not affect attacks, but nevertheless defines peace perfectly."
Undead Rapport,https://darksouls.fandom.com/wiki/Undead_Rapport,"Advanced pyromancy of Quelana of Izalith. Charm Undead and gain temporary allies.|The living are lured by flame, and this relationship is part and parcel to the art of pyromancy. Can be used by either gender."
Vow of Silence,https://darksouls.fandom.com/wiki/Vow_of_Silence,"Secret rite of black-haired witch Velka. Prevents casting of magic within effect area.|Velka, the Goddess of Sin, is a rogue deity, but she is versed in arts both new and old, and is considered to have a great range of influence even as gods are concerned."
White Dragon Breath,https://darksouls.fandom.com/wiki/White_Dragon_Breath,"Sorcery developed by Logan during his infatuation with Seath the Scaleless. Emit crystal breath of Seath the Scaleless.|Although it no longer causes curses, what madness caused old Big Hat to appropriate this frightful power of the ancient dragons?"
Wrath of the Gods,https://darksouls.fandom.com/wiki/Wrath_of_the_Gods,Primal form of Force. Create powerful shockwave.|Wrath of the Gods was an epic tale that tattered into the modern Force. This primal form of Force emits a shockwave that also emits damage.
